record,RESimulator,Sociability,Assertiveness,Achievement,Dependability,Emotional,Referral
663,,,,,,,No
664,,,,,,,No
665,,,,,,,No
666,,,,,,,No
667,,,,,,,No
668,,,,,,,No
669,,,,,,,No
670,,,,,,,No
671,,,,,,,No
672,,,,,,,No
673,,,,,,,No
674,,,,,,,No
675,,,,,,,No
676,,,,,,,No
677,,,,,,,No
678,,,,,,,No
679,,,,,,,No
680,,,,,,,No
681,,,,,,,No
682,,,,,,,No
683,,,,,,,No
684,,,,,,,No
685,,,,,,,No
686,,,,,,,No
687,,,,,,,No
688,,,,,,,No
689,,,,,,,No
690,,,,,,,No
691,,,,,,,No
692,,,,,,,No
693,,,,,,,No
694,,,,,,,No
695,,,,,,,No
696,,,,,,,No
697,,,,,,,No
698,,,,,,,No
699,,,,,,,No
700,,,,,,,No
701,,,,,,,No
702,,,,,,,No
703,,,,,,,No
704,,,,,,,No
705,,,,,,,No
706,,,,,,,No
707,,,,,,,No
708,,,,,,,No
709,,,,,,,No
710,,,,,,,No
711,,,,,,,No
712,,,,,,,No
713,,,,,,,No
714,,,,,,,No
715,,,,,,,No
716,,,,,,,No
717,,,,,,,No
718,,,,,,,No
719,,,,,,,No
720,,,,,,,No
721,,,,,,,No
722,,,,,,,No
723,,,,,,,No
724,,,,,,,No
725,,,,,,,No
726,,,,,,,No
727,,,,,,,No
728,,,,,,,No
729,,,,,,,No
730,,,,,,,No
731,,,,,,,No
732,,,,,,,No
733,,,,,,,No
734,,,,,,,No
735,,,,,,,No
736,,,,,,,No
737,,,,,,,No
738,,,,,,,No
739,,,,,,,No
740,,,,,,,No
741,,,,,,,No
742,,,,,,,No
743,,,,,,,No
744,,,,,,,No
745,,,,,,,No
746,,,,,,,No
747,,,,,,,No
748,,,,,,,No
749,,,,,,,No
750,,,,,,,No
751,,,,,,,No
752,,,,,,,No
753,,,,,,,No
754,,,,,,,No
755,,,,,,,No
756,,,,,,,No
757,,,,,,,No
758,,,,,,,No
759,,,,,,,No
760,,,,,,,No
761,,,,,,,No
762,,,,,,,No
763,,,,,,,No
764,,,,,,,No
765,,,,,,,No
766,,,,,,,No
767,,,,,,,No
768,,,,,,,No
769,,,,,,,No
770,,,,,,,No
771,,,,,,,No
772,,,,,,,No
773,,,,,,,No
774,,,,,,,No
775,,,,,,,No
776,,,,,,,No
777,,,,,,,No
778,,,,,,,No
779,,,,,,,No
780,,,,,,,No
781,,,,,,,No
782,,,,,,,No
783,,,,,,,No
784,,,,,,,No
785,,,,,,,No
786,,,,,,,No
787,,,,,,,No
788,,,,,,,No
789,,,,,,,No
790,,,,,,,No
791,,,,,,,No
792,,,,,,,No
793,,,,,,,No
794,,,,,,,No
795,,,,,,,No
796,,,,,,,No
797,,,,,,,No
798,,,,,,,No
799,,,,,,,No
800,,,,,,,No
801,,,,,,,No
802,,,,,,,No
803,,,,,,,No
804,,,,,,,No
805,,,,,,,No
806,,,,,,,No
807,,,,,,,No
808,,,,,,,No
809,,,,,,,No
810,,,,,,,No
811,,,,,,,No
812,,,,,,,No
813,,,,,,,No
814,,,,,,,No
815,,,,,,,No
816,,,,,,,No
817,,,,,,,No
818,,,,,,,No
819,,,,,,,No
820,,,,,,,No
821,,,,,,,No
822,,,,,,,No
823,,,,,,,No
824,,,,,,,No
825,,,,,,,No
826,,,,,,,No
827,,,,,,,No
828,,,,,,,No
829,,,,,,,No
830,,,,,,,No
831,,,,,,,No
832,,,,,,,No
833,,,,,,,No
834,,,,,,,No
835,,,,,,,No
836,,,,,,,No
837,,,,,,,No
838,,,,,,,No
839,,,,,,,No
840,,,,,,,No
841,,,,,,,No
842,,,,,,,No
843,,,,,,,No
844,,,,,,,No
845,,,,,,,No
846,,,,,,,No
847,,,,,,,No
848,,,,,,,No
849,,,,,,,No
850,,,,,,,No
851,,,,,,,No
852,,,,,,,No
853,,,,,,,No
854,,,,,,,No
855,,,,,,,No
856,,,,,,,No
857,,,,,,,No
858,,,,,,,No
859,,,,,,,No
860,,,,,,,No
861,,,,,,,No
862,,,,,,,No
863,,,,,,,No
864,,,,,,,No
865,,,,,,,No
866,,,,,,,No
867,,,,,,,No
868,,,,,,,No
869,,,,,,,No
870,,,,,,,No
871,,,,,,,No
872,,,,,,,No
873,,,,,,,No
874,,,,,,,No
875,,,,,,,No
876,,,,,,,No
877,,,,,,,No
878,,,,,,,No
879,,,,,,,No
880,,,,,,,No
881,,,,,,,No
882,,,,,,,No
883,,,,,,,No
884,,,,,,,No
885,,,,,,,No
886,,,,,,,No
887,,,,,,,No
888,,,,,,,No
889,,,,,,,No
890,,,,,,,No
891,,,,,,,No
892,,,,,,,No
893,,,,,,,No
894,,,,,,,No
895,,,,,,,No
896,,,,,,,No
897,,,,,,,No
898,,,,,,,No
899,,,,,,,No
900,,,,,,,No
901,,,,,,,No
902,,,,,,,No
903,,,,,,,No
904,,,,,,,No
905,,,,,,,No
906,,,,,,,No
907,,,,,,,No
908,,,,,,,No
909,,,,,,,No
910,,,,,,,No
911,,,,,,,No
912,,,,,,,No
913,,,,,,,No
914,,,,,,,No
915,,,,,,,No
916,,,,,,,No
917,,,,,,,No
918,,,,,,,No
919,,,,,,,No
920,,,,,,,No
921,,,,,,,No
922,,,,,,,No
923,,,,,,,No
924,,,,,,,No
925,,,,,,,No
926,,,,,,,No
927,,,,,,,No
928,,,,,,,No
929,,,,,,,No
930,,,,,,,No
931,,,,,,,No
932,,,,,,,No
933,,,,,,,No
934,,,,,,,No
935,,,,,,,No
936,,,,,,,No
937,,,,,,,No
938,,,,,,,No
939,,,,,,,No
940,,,,,,,No
941,,,,,,,No
942,,,,,,,No
943,,,,,,,No
944,,,,,,,No
945,,,,,,,No
946,,,,,,,No
947,,,,,,,No
948,,,,,,,No
949,,,,,,,No
950,,,,,,,No
951,,,,,,,No
952,,,,,,,No
953,,,,,,,No
954,,,,,,,No
955,,,,,,,No
956,,,,,,,No
957,,,,,,,No
958,,,,,,,No
959,,,,,,,No
960,,,,,,,No
961,,,,,,,No
962,,,,,,,No
963,,,,,,,No
964,,,,,,,No
965,,,,,,,No
966,,,,,,,No
967,,,,,,,No
968,,,,,,,No
969,,,,,,,No
970,,,,,,,No
971,,,,,,,No
972,,,,,,,No
973,,,,,,,No
974,,,,,,,No
975,,,,,,,No
976,,,,,,,No
977,,,,,,,No
978,,,,,,,No
979,,,,,,,No
980,,,,,,,No
981,,,,,,,No
982,,,,,,,No
983,,,,,,,No
984,,,,,,,No
985,,,,,,,No
986,,,,,,,No
987,,,,,,,No
988,,,,,,,No
989,,,,,,,No
990,Almost Ready,Low,Medium,Medium,Medium,Medium,Yes
991,Not Ready,Needs Improvement,Enhanced Competencies,Effective Functioning,Effective Functioning,Effective Functioning,No
992,Not Ready,Effective Functioning,Effective Functioning,Effective Functioning,Enhanced Competencies,Effective Functioning,No
993,,,,,,,No
994,,,,,,,No
995,,,,,,,No
996,,,,,,,No
997,,,,,,,No
998,,,,,,,No
999,Almost Ready,High,Medium,Medium,Medium,High,No
1000,Not Ready,Medium,Medium,Medium,Low,Medium,No
1001,Not Ready,Needs Improvement,Effective Functioning,Enhanced Competencies,Enhanced Competencies,Enhanced Competencies,No
1002,Not Ready,High,Medium,Medium,Medium,Medium,No
1003,Almost Ready,Enhanced Competencies,Effective Functioning,Effective Functioning,Effective Functioning,Enhanced Competencies,No
1004,Almost Ready,Effective Functioning,Effective Functioning,Enhanced Competencies,Enhanced Competencies,Effective Functioning,No
1005,Almost Ready,Needs Improvement,Effective Functioning,Effective Functioning,Effective Functioning,Effective Functioning,No
1006,,,,,,,No
1007,,,,,,,No
1008,,,,,,,No
1009,Almost Ready,Effective Functioning,Effective Functioning,Effective Functioning,Enhanced Competencies,Needs Improvement,No
1010,Almost Ready,Medium,Medium,High,Medium,High,Yes
1011,,,,,,,No
1012,Almost Ready,Effective Functioning,Enhanced Competencies,Enhanced Competencies,Enhanced Competencies,Enhanced Competencies,No
1013,,,,,,,No
1014,Ready,Enhanced Competencies,Enhanced Competencies,Enhanced Competencies,Enhanced Competencies,Enhanced Competencies,No
1015,Not Ready,Needs Improvement,Effective Functioning,Effective Functioning,Effective Functioning,Needs Improvement,No
1016,Not Ready,High,Medium,High,Medium,Medium,No
1017,,,,,,,No
1018,Not Ready,Effective Functioning,Effective Functioning,Effective Functioning,Effective Functioning,Effective Functioning,No
1019,Not Ready,Effective Functioning,Effective Functioning,Enhanced Competencies,Effective Functioning,Effective Functioning,Yes
1020,Not Ready,Effective Functioning,Effective Functioning,Effective Functioning,Effective Functioning,Effective Functioning,No
1021,Not Ready,Needs Improvement,Effective Functioning,Effective Functioning,Effective Functioning,Effective Functioning,No
1022,Ready,High,Medium,Medium,Medium,High,Yes
1023,Almost Ready,Medium,Medium,Medium,Medium,Medium,Yes
1024,Not Ready,Enhanced Competencies,Effective Functioning,Effective Functioning,Effective Functioning,Needs Improvement,No
1025,Not Ready,Medium,Medium,High,High,Medium,No
1026,Not Ready,,,,,,No
1027,,,,,,,No
1028,Not Ready,Medium,Medium,High,High,High,Yes
1029,Not Ready,Medium,Medium,Medium,High,Medium,Yes
1030,Not Ready,High,Medium,Low,Medium,Medium,Yes
1031,Almost Ready,Enhanced Competencies,Enhanced Competencies,Effective Functioning,Effective Functioning,Effective Functioning,Yes
1032,Not Ready,High,Medium,Medium,High,Medium,No
1033,,,,,,,No
1034,,,,,,,No
1035,Almost Ready,Low,Medium,High,Medium,Medium,No
1036,Not Ready,Low,Medium,Medium,Medium,High,No
1037,Not Ready,Medium,High,Medium,Medium,Medium,Yes
1038,Not Ready,Medium,High,Medium,Medium,High,No
1039,Not Ready,Medium,Medium,Medium,Medium,Medium,Yes
1040,Not Ready,Medium,Medium,Medium,Medium,Medium,No
1041,Not Ready,High,Medium,Medium,High,High,No
1042,Not Ready,Medium,Medium,High,Medium,High,No
1043,Almost Ready,Medium,Medium,Medium,Medium,Medium,Yes
1044,Not Ready,Medium,Medium,Medium,Medium,Medium,No
1045,Not Ready,High,Medium,High,Medium,Medium,No
1046,Almost Ready,Medium,Medium,Medium,Medium,Medium,No
1047,Not Ready,Medium,Medium,High,High,Medium,Yes
1048,Not Ready,Medium,Medium,Medium,Medium,Medium,No
1049,Not Ready,Medium,Medium,Medium,High,Medium,Yes
1050,Not Ready,High,Medium,Medium,Medium,Medium,Yes
1051,Not Ready,Medium,Medium,Medium,High,Medium,Yes
1052,Almost Ready,Medium,Medium,High,High,Medium,Yes
1053,Not Ready,Medium,Medium,Medium,Medium,Medium,No
1054,Not Ready,Medium,Medium,Medium,Medium,Medium,No
1055,,,,,,,No
1056,Almost Ready,High,Medium,High,Medium,Medium,No
1057,Not Ready,Medium,Medium,High,Medium,High,No
1058,Almost Ready,Medium,Medium,Medium,Medium,High,No
1059,Almost Ready,High,Medium,Low,Medium,Medium,No
1060,Not Ready,Medium,Medium,Low,Medium,Medium,No
1061,Almost Ready,Medium,Medium,Medium,High,Low,No
1062,Almost Ready,Medium,Medium,High,High,Medium,No
1063,Almost Ready,Medium,Medium,High,High,Medium,No
1064,Ready,Medium,Medium,High,High,Medium,Yes
1065,Not Ready,Medium,Medium,Medium,Medium,Medium,No
1066,Almost Ready,High,Medium,Medium,High,Medium,No
1067,Almost Ready,Medium,Medium,Medium,Medium,Medium,No
1068,Not Ready,Medium,Medium,Medium,Medium,Medium,No
1069,Not Ready,High,Medium,Medium,Medium,Medium,No
1070,Almost Ready,High,Low,Medium,Medium,Medium,No
1071,Not Ready,High,Medium,Medium,Medium,Medium,Yes
1072,Almost Ready,High,Medium,Medium,Medium,Medium,No
1073,Not Ready,Medium,Medium,Medium,Medium,Medium,No
1074,Not Ready,Medium,Medium,High,High,High,No
1075,Not Ready,Medium,Medium,High,Medium,Medium,Yes
1076,Almost Ready,High,Medium,High,High,High,No
1077,Almost Ready,High,Medium,Medium,Medium,Medium,No
1078,Not Ready,Medium,Medium,Medium,Medium,High,No
1079,Ready,Medium,Medium,Medium,Medium,Low,No
1080,Ready,High,Medium,Medium,High,Medium,Yes
1081,Almost Ready,Low,High,High,Medium,Medium,No
1082,Almost Ready,Medium,Medium,Medium,Medium,Medium,No
1083,Almost Ready,High,High,High,High,Medium,No
1084,Almost Ready,Low,Medium,Medium,Medium,Medium,No
1085,Not Ready,High,Medium,Medium,Medium,Medium,Yes
1086,Almost Ready,Medium,High,High,Medium,Medium,Yes
1087,Not Ready,Medium,High,Medium,Medium,Medium,No
1088,Almost Ready,Medium,Medium,Medium,High,Medium,No
1089,Not Ready,High,Medium,Medium,Medium,Medium,No
1090,Not Ready,Medium,Medium,Medium,Medium,Medium,Yes
1091,Not Ready,Medium,Medium,Medium,Medium,Medium,Yes
1092,Not Ready,Medium,Medium,Medium,Medium,Medium,No
1093,Almost Ready,High,High,High,High,High,Yes
1094,,,,,,,No
1095,Almost Ready,Medium,Medium,High,Medium,Medium,No
1096,Ready,Medium,Low,Medium,Medium,Medium,No
1097,Not Ready,Medium,Medium,Medium,Low,Medium,Yes
1098,Ready,Medium,Medium,Medium,Medium,Medium,Yes
1099,Ready,High,Low,Medium,High,Medium,No
1100,Not Ready,Medium,Medium,High,Medium,High,Yes
1101,Almost Ready,High,High,High,High,High,Yes
1102,Ready,Medium,High,High,High,High,Yes
1103,Ready,Medium,Medium,Medium,Medium,Medium,No
1104,Ready,Medium,Medium,Medium,Medium,Medium,No
1105,,,,,,,No
1106,Ready,High,Medium,High,Medium,High,No
1107,,Low,Medium,Medium,Medium,Medium,Yes
1108,Ready,High,Low,Medium,Medium,Medium,Yes
1109,Ready,High,Medium,Medium,High,Medium,Yes
1110,Ready,Medium,Medium,Medium,High,High,Yes
1111,Ready,Medium,High,High,High,High,No
1112,Ready,High,High,High,Medium,Medium,Yes
1113,Ready,Medium,Medium,Medium,Medium,Medium,Yes
1114,Ready,High,High,High,Medium,Medium,No
1115,Almost Ready,Medium,High,High,High,Medium,No
1116,Almost Ready,Medium,Medium,Medium,Medium,Medium,No
1117,Almost Ready,Medium,Medium,Medium,Medium,Medium,No
1118,Ready,Medium,Medium,Medium,Medium,Medium,Yes
1119,Ready,Medium,Medium,Medium,Medium,Medium,No
1120,Ready,Medium,High,High,Medium,Medium,No
1121,Almost Ready,High,High,High,High,High,No
1122,Ready,High,Medium,Medium,Medium,Medium,No
