Job Title,Tell Us Why You Left?
"Specialist,Cash Ops","No flexibility, no part-time or remote options available."
"Specialist,LossMitigation","I had already spoken to HR rep about I left, but if I must repeat my reason here goes. The supervisors had their favorites, and they had their clicks. I disputed a couple of things but it went to deaf hears. The supervisors are not well versed as far as coaching the employees, and sending out emails that should of been well thought out, instead of trying to be so ugly the supervisors didn't pay attention to the numbers on spread sheet to see why calls were missed. there is a number of things that weren't conducive for a new employee. The training program was horrible to say the least. / Best Regards, / "
RE Sales Agent,Carrington let all the part time agents go / 
"Specialist,BK,Sr.","I would have been happy to stay at Carrington if there were different leaders in place. I enjoyed working for the company and I really enjoyed the work that I was doing, which I was very good at doing. The problem with the bankruptcy department at Carrington starts with our VP. Eric Harrison is the most unfair leader that I've ever encountered in my 22 years of working. He produces a negative and hostile environment in the department which made it very hard for me to focus on the job that I was hired to do. Promotions aren't based on knowledge or qualifications; it's solely based on friendship and statuses. I was hired at Carrington on 11/30/2015. During my time there, I was never placed on any verbal or written disciplinary actions. I was also top performer in my department every month. When it was time for us to receive our annual review, I did not receive an increase. After speaking with my direct supervisor, I was advised that the review that was put in our system was not the review that he had written. I was given a does not meet in one of the areas stating that I failed on a loan.  I asked my management team to please provide me with the loan number that I failed on, but that loan number could not be provided. I was asked to assist with writing our policies and procedures. I did as I was asked but it also took away from me doing my main job which also took away from me getting my monthly bonus. In order for me to receive a bonus, I needed to close 70 loans. I closed 67 loans in the month of August and my supervisor submitted for me to receive a discretionary bonus since I was assisting with the policies and procedures along with other stuff. The request for me to receive a bonus was denied. The morale is low because the managers tear down the employees. Eric made an announcement during a floor huddle stating that if we weren’t happy, we should seek employment elsewhere. I’ve never been at a job that didn’t have a job aid or training manual.  I am the one that assisted in creating the one that we do have and I was never given credit for doing it. Our VP also has cookouts at his home where he only invites certain employees. I really never understood why Eric had an issue with me personally but I know I worked hard during my time at Carrington. I made mistakes but I’m only human. My error rate was very low. For my VP to tell another associate to disengage herself from me was the biggest kick ever. To this day, I’m not sure why this was said but I don’t think this is professional. Once Carrington places professional leaders in the company, I feel like the turnover rate will decrease. I really loved my job but I love my life more and the stress from management was not worth it. Thanks for the opportunity and I pray that things get better."
"AE, Whlsale, Inside","To discusss this matter, please reach me at 469-767-4241"
"Loan Officer, Retail II","Income dropped as outside variables changed. I want to be clear. That is the main reason. I had come to Carrington in hopes of growing with a company. When the opportunity came, I had applied for a management position that I was being groomed for by James Torrence to replace him as a sales manager. Rob Petruska hired someone less qualified in every category. Ultimately, I did not earn Rob’s trust so I’ll take full responsibility. That experience made me realize I had a very limited career path going forward with Carrington. After doing everything I could to earn a promotion (graduate Leadershift, Circle of Excellence, top 10 in production for the company, 10 years finance experience, 7 in management, BS in Business) and not getting it really made me rethink my future. I like Rob and have known him for 20 years. It’s his call who he hires and why. Rob hired me and I’m grateful. Ultimately, my income took a dip from 178K to tracking about 120K. That’s too much of a hit to stick with a company I can’t grow with. "
"Analyst, Loss","My current manager Patrick was awful. He did not interact with his employees, he would argue with his employees on the floor and call them piers for everyone to hear. There was NO good communication from upper management as well for me."
"Trainee, Loan Officer, I","I didn't leave. I had a family emergency I reported to my manager, then received a termination email for not being at work for 3 consecutive days."
"Specialist,PostClose,CTS","I loved working for Carrington Title Services, I had an amazing manager. I received a job offer and financially had to do what was best for my family. The offer came from a recommendation from a previous manager. "
"VP,RetailProcessing&Init","less travel, opportunity to advance my career, better home life balance "
"Loan Counselor,Srvng,I",I feel departments do not communicate. There are unfair practices. For instance when traffic accidents occurrences are waived in collections  if there are numerous people coming in late while customer service is not. Lack of communication with Human Resources as well. Received an occurrence back in june for a traffic accident Human Resources was to investigate considering there was multiple people coming in late up from july up through oct I didn’t even get an email from Human Resources considering this issue. Some supervisors are poorly trained all have different answers to one question. Manager also seemed to have favoritism not to mention his superior have known each other prior.
"Manager,LoanProcess,Vylla",CMS willingness and encouragement of improper and unethical practices was not something I was willing to be apart of. 
"Funder, II",I was expected to go home and log in until everything assigned to me was completed.  I am my wifes full time care giver and I just cant go home and log in until everyone decided im done
"AVP,Broker of Record","The environment is toxic.  Communication from upper management didn't exist nor did they inquire/care about decisions that were made effecting my level and below.  The attitude was ""get on board or get out"" so I chose to get out after I couldn't take any more.  I didn't like the way they were treating me or my agents and I couldn't stand for it.  The morale is the lowest it had been in my 2 years with the company.  Everyone was afraid to lose their job and the company was losing money at a rapid rate without anyone in leadership having a clue on how to correct the situation.  I found an opportunity to jump off of  sinking ship and I took it.  "
"AVP,Rtl Branch ,Producing",Better opportunity for growing retail which has been part of my 25 year mortgage career.  I enjoyed working at CMS and the great employees it has. 
"Account Manager,Sr.","I left Carrington Mortgage Services due to the lack of work/life balance and management’s lack to understand that concept. Management lives and breathes work and as much as they might say they want you to have a life outside work they make it impossible with the work load and expectations of job duties. Management is not family orientated and is very closed minded when it comes to new ideas. On several occasions I suggested new ways to better customer service and also improve efficiencies. I was verbally reprimanded for suggesting these ideas being told it was not my concern or job. Lastly, the pay structure is unfair. You have account managers receiving $8k,$9k bonuses where you have others working just as hard or harder earning half that. This is due to unfairly distributing Account Executive accounts and amount of files. For instances an account manager with 90 refinances will close many more loans than an account manager with only a pipeline size of 40-50 purchases; however they account manager with the purchases will do much more work due to the purpose of the loan and will be compensated about half- which is not fair. "
"Specialist,Special Servc.","No room for growth within, no 401K match, better benefits needed. "
RE Sales Agent,"I stepped away from real estate all together. I don’t have time for it right now, maybe in the future I will decide to come back"
"Specialist,CS,Sr.",I feel as though I had plateaued and it was my time to find a position that would appreciate my skillset and allow me to cut away from the proverbial customer service cords. 
"Loan Officer, Retail II",1. Lack of quality leads  / 2. Knowing other loan officers doing the same work were on much more lucrative comp plans. / 3. No sense of urgency on purchase loans. Missed 6 of the 8 closing dates I had this past summer.
"Loan Officer, Retail Ctr",The current business model to cold call all of Carrington’s current customer was a model I strongly disagree with. We attempted to call these customers  twice a day for 6-7 days in a row only frustrated customers to the point where they would advise they won’t do business with Carrington in the future.  This disconnect with the senior management was one of the many reason I left. 
"Loan Counselor,Srvng,I","I was told that I would get a raise for being transferred to back end and when asked when I was getting the raise I was told different reason and when I left they still didn’t give a reason as to why I haven’t received the raise as of now. Management was terrible and had their favorites, wasn’t treated fairly like other employees. Lorriane is the main reason I left, she was very unprofessional and said things that was hurtful. She used her authority as power over us she would go a whole day or 2 not speaking. One incident I email her a question and she told me personally that I need to stop being sensitive and be thankful I have a job. She always told us as a team that anything was to come back that she said she would deny it. I was on FMLA due to having major depression disorder and working under her wasn’t healthy for me and I was at the point where I didn’t feel the need to go to upper management cause I have before and no change. I am not the only one who feel this way about her!"
"Asset Manager,I","Even with perform reviews at 3.5 or higher we never get any higher salary rewards to keep up with the cost of livivng 3%, and the management team is not very open with production level employees. "
RE Sales Agent,Lack of leads and response time for broker questions.  Also many other agents departure.
"Paralegal, Litigation",Poor management. Not a team environment. Did not have clear job tasks. 
"Loan Officer, Retail II",It comes down to a shift in the business model.  As a loan officer i was not receiving enough inbound qualified leads to support the fundings I needed to support my family.  There were only 2 or 3 loan officers hitting the highest tiers in the entire company.  There are no more manual lists to call customers from like before the advent of 5/9 system.  5/9 was having me call the same customers everyday day after day and upsetting the customer. For the size of our portfolio i dont feel that Carrington marketed their customers properly to generate business. 
RE Sales Agent,"1. We were acquired by you from Real Estate Club, a 100% commission company / Conditions were changing first to 95% then to 90% and then you added a $395 fee with very little in added value to me as an agent / 2. I deal a lot with trusts which Carrington does not seem to understand well. Recently was asked that in every initial, every teustee must add: as trustee for the ‘seller trust’, eell somebproperties have 3 teustees, were do I put all tgat added verbage???? Made no sense / The trust says who is ( are the teustees) and can sign / 3. Unhappy with interaction with paperwork coordinator, I understand her pressure from corporate but we just were not communicating properly. I do not like constant conflict / 4. If I am not getting value from a company, conditions ate changing for the worst, company does not understand trusts and every paperwork is wrong, what reason I had to stay?"
"Spec,DefaultMIClaimsI","I've already explained to Iris that I truly disliked the work.  I understood that they were correct and still could find no logic.  Compounded by the fact that no cellphones are allowed, breaks and lunches are scheduled, even when no customer phone coverage is required.  It's a warehouse environment, and I never signed on for that.  It just wasn't a good fit for me."
"Loan Officer, Retail II","I was offered a position as an outside loan adviser with higher payout on self generated loans and much higher payout provided leads.  / I also left due to the structure of the process. The loan officer should be on the phone selling. there was not enough time to talk to as many people in a given day in order to reach max potential of sales. My new position wants me to focus on generating business, not doing loan officer assistant work, disclosure department work, and loan processor work. Although it is very important to submit a complete package up front, the task should be put in the hands of the team. More sales equals more profit.  / Lastly, although leads were provided, it was difficult to take 10 apps and deny 11. Not being able to submit a loan means there is no money to be paid. However, there was no time to do any self generated business which offered a higher payout. Not enough hours in the day to be successful."
"Asset Manager,I","Eric VanSingel is the WORST manager I have worked under in my professional career period over the last 13 years.  He is lazy (literally worked 4-5 hours per day) and unprofessional.  He has ZERO integrity, I have caught him in multiple lies.  He only gets away with this behavior because he is a white male in a ""white male dominated"" environment.  There is NO MINORITY who could have behaved in this way in kept his or her position.   There are absolutely no black leaders, mid to upper management at Carrington.  This company is not diverse and absolutely not headed in that direction.  I learned from experience when you speak about race or equal treatment/opportunity in the work place, you will be RETALIATED against. I watched Eric ONLY promote a woman (Patricia Gatewood) and create positions for her and blow her up to management because he was either having an inappropriate relationship with her or he liked her.  It was disgusting to see  the look in his eyes when he was around her and see how he could not contain himself in her presence.    They were either gone around the same times from their desks or coincidentally ""sick"" or on PTO the same days.   I understand this does not mean something was going on but previous and present employees made comments they felt the same way about the inappropriateness of their relationship but of course no one had the courage to speak up.  All the ""talks"" took place off and on the floor.  Everyone was afraid of being retaliated against (of course since everyone was either usually a minority in race or gender).   Eric is very ""crafty"" and manipulative in what he communicates to upper management.   He will reap all of those things back.  He will be the demise of his professional career one day.  "
"Loan Counselor,Srvng,I","I left mostly due to the direction the company is headed. I really did not like the fact that 50 employees were laid off in servicing when in the same week it was announced that 2 senior VP jobs were added. I also didn't like the change of the bonus structure in the loan servicing department. Above the director level in my department I didn't trust the most senior leadership roles. Plus the schedule was absolutely horrendous. My direct supervisor did an amazing job, crispin nkya is a true leader and an asset to the company. "
"Spec,Disclosure II,Retail",Because I was let go due to discrimination and favoritism.
"Loan Officer, Retail II","I was offered a position as an outside loan adviser with higher payout on self generated loans and much higher payout provided leads.  / I also left due to the structure of the process. The loan officer should be on the phone selling. there was not enough time to talk to as many people in a given day in order to reach max potential of sales. My new position wants me to focus on generating business, not doing loan officer assistant work, disclosure department work, and loan processor work. Although it is very important to submit a complete package up front, the task should be put in the hands of the team. More sales equals more profit.  / Lastly, although leads were provided, it was difficult to take 10 apps and deny 11. Not being able to submit a loan means there is no money to be paid. However, there was no time to do any self generated business which offered a higher payout. Not enough hours in the day to be successful."
"Director,Foreclosure",Unreasonable expectations and lack of support from SVP and above.
"Paralegal, Litigation",I was off work on medical disability and when I was released to return to work (with restrictions) my position was no longer available. 
"Loan Officer,RetailOutsid","I just felt like it was a poor match from the get go. The hiring manager told me I wold be expected to be putting loans on the books in less than 2 months. I had just relocated, and had no realtor connections. I was also told my goals were 1 credit pull per day, 4-6 loan submission per month. Seems like a very low conversion rate.  How do you motivate people? Carrot or the stick.  I just saw the stick. "
"Specialist,CS,I","I liked the people that I worked with and the management team. The only reasons why I left was that I didn't like sitting down all day, the shift was too long, and the mortgage industry is just not for me. "
"Loan Officer,RetailOutsII","It depened who you were whether your files got processed. Manager was demeaning, producing mgr. That always wanted to know what agentsyou were working with. Would call my applicants, all incoming leads were to be sent to him. Yells at me and others all the time. Did not train on programs. Said carrington mortgage was only good for fha/va loans. Constantly put down leadership at site and beyond. Always saidcarrington pays me an obscene amount of money. Very  poor communicator. When you ask a question, he would say you should know that. I did not get set up or have a bathroom key for over two weeks, always told not a priority. The mgr ie a lawsuit waiting to happen. He has obscenely put down grays. I also believe he has a racist bent. The list could go on and on. I"
"Loan Officer, Retail","New SVP is not in alignment with the previous culture. New demands created anxiety and an uncomfortable feeling everyday.  The SVP's comments regarding staff were not professional or trustworthy and at times his comments were not of a leader. Used information from staff to create a hostile environment. Not the culture I wanted to be part of any more.  A mentor told me once, good employees do not leave because of the company but because of leadership. A controlling environment is okay for the younger generation that need structure. I was a top producer and my previous leader allowed me to work my way as long as continued to produce and I did. Loved my time at Carrington prior to all the changes.  / I also was very unhappy when our compensation plan changed in June. 1st tier 20 bps for the amount of work on the loans.  /  / When I resigned 8.6 the SVP instructed that I leave the premises immediately as if i were a criminal without saying good bye to my co workers. Jimmy Torrence also advised processing to cease all communication with me regarding my loans in active as I still had 15 days to close my pipeline. /  / I have emailed SVP on loans I expected to get paid on and has not confirmed. /  / If this is the Carrington way, then it is wrong. I gave Carrington almost 2 years and didn't appreciate how this was handle. /  / I would appreciate if someone can follow up on my compensation pay for September. /  / Thank you  / Lisa /  / Hoping this will not affect my compensation for September  /  / "
"Coord,DefaultInv,I",Valerie is an awful boss to work for. I M not sure how many pirple have to transfer out of her department or quit for someone to realize who and what the problem is. All she cares about is quantity over quality. She tells us to approve things that shouldn’t be approved. 
RE Sales Agent,I am dealing with breast cancer and only wanted a break until I get a bit better. / 
"Loan Counselor,Srvng,I",Truly it was a good experience with CMS. This was more of a family reason and not so much a company issue. My one daughter would of had to wait another year and fall behind in the current curriculum she is on and didn't want this. As a less important were the subject of recent layoffs that would have been more of a minor concern but wouldn't have deterred me from staying on longer. 
"Specialist,Bankruptcy,II","The bankruptcy department is unfair and unethical. The same rules do not apply to everyone. And it says a lot when rules can't be given in writing. It was a major red flag when the remediation project was going on last year and we were told not to note accounts with what was done because seeing the note in multiple accounts would raise a flag to auditors. There was not a set remediation process. Carrington failed to follow the rules when a PCN wasn't filed. Carrington tries to get around that requirement by saying oh the debtor was delinquent or they still made the payment. I wonder if the CFPB, CH 13 bankruptcy trustees or the debtors attorney would agree. I doubt it, because I dealt with CMS attorneys that refused to file PCNs if the debtor wasn't credited for the unfiled PCNs. "
"Loan Counselor,Srvng,I","I wasn’t feeling comfortable under the new management that I was placed under, she made my work day very miserable and hostile. Carrington was a very nice place to work and I will honestly miss the place. I was really sad unfortunately but best wishes to the Carrington team!"
"Loan Officer, Retail Ctr","18 yrs origination experience. Have 6 yrs exp with servicing pool for refi's. Your servicing pool is Septic. This pool, while I was there was called day after day after day. Existing Customers wouldn't answer the phone. Many had call block or opt out for sales calls. Those that did answer mostly would curse the Carrington name. Upper mgmt wondered why there were so many payoffs from the pool that we never had a chance to talk to. That was the problem. Multiple people were calling sometimes twice a day every day. All the messages that I left for return calls...never had a return call. I requested to be removed from the phone dialer and develop a realtor referral of new purchase business. My manager didn't object. After my initial training and obtaining multiple state licensing I had been calling for refi's exactly 30 days when I knew this was not be profitable for me or Carrington. That is when I began to seek purchase business from realtors. I became clear that they wanted my time and energy to call the septic pool. I am and continue to be a salesperson. What is going on at Carrington is not sales. I preform my skills when put in front of unbiased consumers and Carrington failed at that and further did not allow me the opportunity to develop my own clientele."
"Analyst, Loss","Carrington does not to offer cost of living raises because they are ""not a socialist company"" as the president Ray so nicely put. The performance review system is so flawed that you can barely even get a raise even if you get high marks on your reviews. I moved laterally 3 times in my department and received recognition multiple times for consistently meeting my goals yet all I get is a trophy. The micromanaging and numbers driven departments are not pleasant atmospheres to want to be in. Also, whe. You have upper management that does not know how to properly talk to people is a big issue. Directors and higher need to also take management classes to better understand their employees. "
"Loan Officer,RetailOutsid","I don't think this was the right time for me to work here had to have a strong book of business.  The did expect a lot out of you asking for 19 credit polls a month I would have needed a long ramp up which would not work for me , I still have not received my final commision check nor has anyone verified my check will be not sure how no one knows this . I would like to get an answer."
"Processor,Ops,I",I moved out of the area
"Supervisor,Bankruptcy",Leadership team does not lead properly. They are supposed to be leading by example with honor and pride.  
"Loan Officer, Retail Ctr",A couple reasons: one being the inability to close loans that were clear to close but somehow management specifically Aaron bordout did not  assist me or talk to the right people to get my loans closed in a timely fashion. Bordouts attitude and demeaner towards everyone on our team. He was too busy trying to figure out his job versus helping any of us. A co worker was fired because of a question Briscoe asked him. His response was so far from an answer it was disrespectful! Yelling obscene things to him. If Scott Sorenson was still my manager I would have stayed without a question. I respect John parsons as a manager and a person but think he made a bad decision hiring someone who did nothing but waste our time as lo’s. So th main reason I left Carrington and the same reason josh Bricker left the company and a couple soon to follow is AARON BORDOUT!
"Loan Officer, Retail","Training is only done so it covers some corporate criteria but it's not done to ensure that the LO receives proper sales trainig and support.  Overall management style is really demotivating and even loyal to the company people will start looking elsewhere.  / I really liked the people there and if it wasn't for those issues along with the constant comp plan changes,I would still be there."
"Underwriter, Retail, Sr.",Not good work-life balance. Unhappy with direct management. 
"Specialist,Bankruptcy,II","I had to quit cause I had a family emergency, my Mother got sick and I needed to make a trip to my country but I regret my decision, I love Carrington and I wish I could come back. "
"Specialist,CS,I","Family issues and over tome instead of taking the incentive program away due to financial issues you guys started being unfair and petty with the qc everything little thing was auto fail instead of point taken off , that’s discouraging and a smack / In the face after all the hard work and dedication we use towards calls and customers "
"Specialist,Property Pres",My old company offered me a position to come back. 
"Specialist,BK,Sr.",Upper management and favoritism and harrasment. That's the main reason and if you want to be sick you get written up. Bankruptcy department has allot of problems hopefully things get fixed or my or more people will be leaving.
"Specialist,Bankruptcy,II",New management brought in that was very disrespectful and condescending from day one. There were no advancement opportunities in the role I was given. I was relied on heavily to produce astronomical numbers which were never asked of anyone prior. Feedback from team members was never acted upon.
"Loan Officer,RetailOutsII",I honestly like the company and was truly happy with it. I left because I did not have the FMLA benefit yet and I had kidney stones and had to take some time off to get operated and when I called I let them know I was thinking of putting in my two weeks for personal reasons and was not asked why I was leaving but simply let go right on the spot. I was a bit shocked it all happened so fast but I took it as I must not have mattered much at the moment and did not go into details why I wanted to put in my two weeks. If asked I would have told them about my problem and would have been open about it but I was very quickly let go. I recommend the company as management themselves were great and extremely knowledgeable. I see tye company moving forward strong despite some employees leaving but I am not one of those that left for what happened on the team I was with I had just met my new upper management Leonard and was looking forward to taking over a position working out of a mutual friends brokers office. I do not blame anyone or anything for my departure just wish I would have had more of a talk from the person I spoke to that day. Usually HR was great which is why I went to them directly instead of my new manager. Jen in HR was very helpful in tge past and I was hoping she would have answered that day I would potentially still be with the company 
"Officer, Corp Security",Please contact Michael Barrett and Glenda Shelby
"Specialist,Closing,CTS",Personal family matters.
"Specialist,CS,I",I took early retirement.
"Loan Officer,RetailOutsII",The branch in Fresno is  Only license in one state which is California my remaining 27 states license was Deactivate cause me too loose money with loans bein transferred to other agents in company was a little to much to handle . /  / 
"Underwriter,RetailCtr,II",Company doesn't value the people within only the business that is generated.
"Specialist,CS,I",I left Carrington Mortgage because working as a customer service representative was not a good fit for me.
"Specialist,LossMit/BK",Due to the circumstances I suddenly became faced with due to a roomate situation financially I was not able to have adequate transportation or living accommodations to accommodate my work schedule unfortunately 
"Loan Officer, Retail II",The overall treatment of employees is very unfavorable.  
"Specialist,LoanSet-Up,II","I never thought I would leave but after what happened in March with all the layoff's, my confidence in the Company was gone.   They let good people go but kept LO's that never produced one loan.    I felt that decision was was not well thought out.      I felt insecure about how long my job might last.          "
"Sup,LoanCounselor",The atmosphere was extremely stressful and unorganized.  There was some favoritism among staff which led to unfairness in the treatment of employees depending which team they were on.  Goals were way too easy which led to complacency and lack of effort - which also created an atmosphere of entitlement.  
"Specialist,CS,I","I left Carrington Mortgage because of my schedule. I am a single mother with a child and the 11am to 8pm or later depending on the call, then having to drive an hour to pick up my child from the babysitter at 9:20pm again depending on the last call, then still having to feed my child and get him ready for the next day would get him in the bed well after 10:30pm or 11:00pm and that is NOT ACCEPTABLE."
"Specialist,TitleCurtv,CTS","My boss and one of her longest employed there employees trashed talked everyone. The gossip was unbearable. The rude, demeeming, belittling, arrogant,  sarcastic tones was very annoying and hurtful. I just couldn't take one more day of it. I don't stand alone with these thoughts. Several other title curative employees have expressed the same concerns and issues with me. They fear retaliation and keep their thoughts to themselves for the most part. "
"Loan Officer, Retail II","The reasons are many, but the short answer is I did not enjoy the job near enough to endure the daily grind from my SM.  The company is trying to squeeze too much from its people and it has caused, and will in my opinion, continue to cause, good employees to leave.  The situation is made worse when employees do not respect their sales manager(s).  Carrington has hired SMs who have never sold at CMS and do not have the training and/or skills set to perform the job with any real credibility.  Furthermore, I was told in Dec that I would be the next SM and would lead a new team.  Craig and I shook hands on it.  Then I heard nothing for a month and then two and so on.  After Craig left the company I learned there was a hiring freeze and I should've never been offered the position.  To make matters worse I held out hope that I would be replacing one of the current SMs because I offered experience and much needed positive leadership.  Yet, nothing happened other than the continual departure of good employees.  Granted, some that left needed to go or be let go.  But, there's no doubt in my mind (because I've been told by many) that the reason for the exodus was due to a lack of respect for management (preceeding Jimmy Torrence's arrival).  Everyone is simply baffled by CMS's apparent tone deaf approach to its SM situation in Scottsdale.  One SM in particular has a terrible record of attrition and despite Jimmy's best efforts (and previous VPs') continues to hound LOs with a daily grind of emails and long, drawn-out meetings with the same old, repetitive messaging and sales training.  While his intentions are good and his heart is huge, he often slides into familiar habits of that cause all, great frustration.  Let me be clear, again, there were some very negative folks that needed to go and they're gone.  The folks you have remaining are good, hard-working professionals who want to do well and be happy.  Unfortunately, they do not see this as a possibility in the current environment.  You will see more good people leave CMS in the coming months.  That's a terrible thing because I know I could've made a difference had I been given the opportunity to lead.  I brought credibility through job knowledge, experience, and a positive approach.  While I appreciated the compliments and support, the continued push from LOs for my promotion became frustrating, as well, as I knew it was not happening.  I am grateful for my time at CMS and those who had a positive impact on my career, including Jimmy Torrence.  Thanks for allowing me to offer my feedback.   "
"Specialist, Loss Analysis","there were many reasons one of them when you work with a director uses the associate's ideas for his own credit, after he makes changes on it. first, he will say this idea is not going to work then he will use it after a period of time without giving you any credit for it. he does not even tell you to thank you for trying to bring new idea he will give you an angry face to make you do not think again about a new idea. "
"AE, Wholesale","BETTER PAY, LESS TURNOVER IN SR MGT AND THE ABILITY TO KEEP MY BROKER RELATIONSHIPS GOING STRONG AS THEY WERE GETTING CRUSHED AT CARRINGTON, DUE TO SERVICE AND THE PROCESS, TOO MANY CHIEFS, NOT ENOUGH INDIANS"
"Specialist,CS,I","I feel as though Carrington is a good company to work for overall however not family oriented and it’s all about numbers not the customers not the employees, there are good incentives and helpful supervisors that actually take the time out to say good morning to everyone by name so it’s not a stressful work environment, it’s just not a good fit for me with the personal family problems that could never be timed so I had to end my time with Carrington. "
"Analyst, Foreclosure, Sr.",The Leadership (Monica Hadley) is a manipulator and has weaponized her position. She only hires and promotes people who she can control.  She baits you into conversations and then uses what you say in confidence against you. Her goal is to tear down and not build up. She also talks about her personal life too much and says some very inappropriate comments about her sex life.  She is an EEOC violation waiting to happen 
